phase	phaseDuration.ms	peakForce.mN	minimumForce.mN	forceChange.mN	meanForce.mN	sdForce.mN	meanForceRate.mNps	peakForceRate.mNps	peakPosition.mm	positionChange.mm	meanPosition.mm	sdPosition.mm	meanVelocity.mmps	peakVelocity.mmps	heldForce.mN	heldPosition.mm	condition	targetForce.mN	targetRampTime.ms	positionLimit.mm	sourceFile	PID	UpperThreshold	LowerThreshold	outliers
hold	193.5	1009.8219907484504	1004.6490392845806	5.172951463869708	1006.3588026315824	0.6757853828263694	-22.854957735834308	-2423.3445726417813	3.8044609109911214	0.3468938290842405	3.696494372752258	3.696494372752258	1.8097118358692457	9.939095617053084	1002.4987677607688	4.500160177553548	film	1000	83	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_1000.0_250_2.ddf	P02	1100	900	include
hold	193.5	1010.1964549565064	1004.447953188748	5.748501767758398	1006.2608884215792	0.71775829744488	-26.151573796206797	-2389.074303944426	4.096855716964514	0.4412864952812861	3.9501618314023377	3.9501618314023377	2.3009269010897246	11.246478340265044	1002.427244813962	4.960852448260795	film	1000	83	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_1000.0_400_2.ddf	P02	1100	900	include
hold	261.5	1009.044450297378	287.21968802287086	721.8247622745071	912.9162345662116	197.33924940664753	2641.352905329976	15109.112443517231	2.4875896003209137	1.7335604899903885	2.190648179040356	2.190648179040356	6.701306468572752	45.93656187301099	910.5667542366048	5.785938778041041	film	1000	83	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_1000.0_490_2.ddf	P02	1100	900	exclude
hold	259.5	1010.9599487738808	318.0989197273624	692.8610290465183	918.3095159932566	189.61806428442517	2570.2499871264617	15987.117549231016	3.593394603391411	2.7646359140353756	3.058680375749274	3.058680375749274	10.59203476768912	61.442245780295664	916.3997289023376	7.620742639515747	film	1000	83	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_1000.0_60_2.ddf	P02	1100	900	exclude
hold	261.5	1010.1580660717972	288.0546521284878	722.1034139433095	912.944586391647	197.8518613172748	2671.5869017371765	16524.47147015448	3.394630869010648	2.50070784270607	2.941338330442543	2.941338330442543	9.542872783825	56.254902075997926	910.2867907061784	6.083330670423088	film	1000	83	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_1000.0_640_2.ddf	P02	1100	900	exclude
hold	262	1009.0168946036526	281.406034012016	727.6108605916367	911.576328228428	199.43659706640463	2669.162314217642	16192.47096854474	2.572274348581084	1.8423225976965032	2.255832193028599	2.255832193028599	7.103341558810196	45.95524830305653	909.0349697566238	5.526106181897523	film	1000	83	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_1000.0_750_2.ddf	P02	1100	900	exclude
hold	192.5	1209.6343555487351	1203.243489827187	6.390865721548153	1206.183987201464	0.7275663335622428	-30.56593822886093	-2752.5854571690616	4.24915043010764	0.3677922619163927	4.126405827910322	4.126405827910322	1.9233785709888271	8.983308340932972	1202.3953894507044	5.0152722777647405	film	1200	100	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_1200.0_220_2.ddf	P02	1320	1080	include
hold	193	1209.743647430031	1203.0285097877852	6.715137642245736	1206.0509530952909	0.7831503114973163	-30.13037354381379	-2766.174551612494	4.409119751581212	0.3401393350741646	4.2933553462896255	4.2933553462896255	1.775138212308631	8.82916883722018	1202.2642812407923	5.129510947612778	film	1200	100	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_1200.0_270_2.ddf	P02	1320	1080	include
hold	192.5	1209.21243424059	1203.3030531061893	5.909381134400746	1206.3853477051834	0.6765975723390157	-27.12345172453092	-2829.8815252351233	2.7394084982203304	0.3037163416763904	2.632128441964531	2.632128441964531	1.5846803992337892	6.638010855425591	1202.8748268717975	4.168689283227758	film	1200	100	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_1200.0_460_2.ddf	P02	1320	1080	include
hold	277.5	1209.369590330246	306.7558057913724	902.6137845388736	1069.2556055396992	261.7800614172198	3183.8436324115673	13905.139279382523	3.091947678042544	2.088485771569273	2.72512480382933	2.72512480382933	7.626333657443564	65.69793713086281	1067.114338728462	6.6329128325747195	film	1200	100	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_1200.0_530_2.ddf	P02	1320	1080	exclude
hold	277.5	1209.4260596180895	297.0756633044913	912.3503963135984	1069.030644514056	262.3934034426216	3239.441886076008	14122.449049916211	3.1096410326520054	2.202221787687824	2.721878989940336	2.721878989940336	7.99460680445778	43.33726387627013	1066.5916226373522	6.165060773069124	film	1200	100	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_1200.0_590_2.ddf	P02	1320	1080	exclude
hold	277.5	1209.1063873774965	309.11722137490784	899.9891660025887	1069.2010917432244	261.2811157752952	3113.674339692665	14837.952406016826	2.5259434380036327	2.0069571025811204	2.151872668307438	2.151872668307438	7.359573148131511	79.49373191336994	1067.544164754983	7.109283698167781	film	1200	100	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_1200.0_820_2.ddf	P02	1320	1080	exclude
